x      y        z
2      67       2.31
2      233      8.56
2      569      18.86
2      1200     36.63
2      2200     75.5
4      67       1.52
4      233      4.84
4      569      10.70
4      1200     24.79
4      2200     45.2
6      67       1.04
6      233      3.65
6      569      8.59
6      1200     17.48
6      2200     36.5
8      67       0.82
8      233      3.02
8      569      7.05
8      1200     14.27
8      2200     28.1
10     67       0.71
10     233      2.53
10     569      6.01
10     1200     12.16
10     2200     24.1
12     67       0.62
12     233      2.19
12     569      5.52
12     1200     10.20
12     2200     20.2
14     67       0.56
14     233      1.93
14     569      4.46
14     1200     9.51
14     2200     18.6
16     67       0.46
16     233      1.7
16     569      4.0
16     1200     8.1
16     2200     15.9
